"//English translation","//German infinitive","//First Person Singular, Präsens","//Second Person Singular, Präsens","//Third Person Singular, Präsens","//First Person Plurl, Präsens","//Second Person Plurl, Präsens","//Third Person Plurl, Präsens","//First Person Singular, Präteritum","//Second Person Singular, Präteritum","//Third Person Singular, Präteritum","//First Person Plurl, Präteritum","//Second Person Plurl, Präteritum","//Third Person Plurl, Präteritum","//Futur 1"
"to give","geben","gebe","gibst","gibt","geben","gebt","geben","gab","gabst","gab","gaben","gabt","gaben","geben"
"to favor","gefallen","gefalle","gefällst","gefällt","gefallen","gefallt","gefallen","gefiel","gefielst","gefiel","gefielen","gefielt","gefielen","gefallen"
"to go","gehen","gehe","gehst","geht","gehen","geht","gehen","ging","gingst","ging","gingen","gingt","gingen","gehen"
"to have","haben","habe","hast","hat","haben","habt","haben","hatte","hattest","hatte","hatten","hattet","hatten","haben"
"to buy","kaufen","kaufe","kaufst","kauft","kaufen","kauft","kaufen","kaufte","kauftest","kaufte","kauften","kauftet","kauften","kaufen"
"to be called","heißen","heiße","heißt","heißt","heißen","heißt","heißen","heiß","heißt","heiß","heißen","heißt","heißen","heißen"
"to help","helfen","helfe","hilfst","hilft","helfen","helft","helfen","half","halfst","half","halfen","halft","halfen","helfen"
"to get","holen","hole","holst","holt","holen","holt","holen","holte","holtest","holte","holten","holtet","holten","holen"
"to hear","hören","höre","hörst","hört","hören","hört","hören","hörte","hörtest","hörte","hörten","hörtet","hörten","hören"
"to know","kennen","kenne","kennst","kennt","kennen","kennt","kennen","kannte","kanntest","kannte","kannten","kanntet","kannten","kennen"
"to live; survive","leben","lebe","lebst","lebt","leben","lebt","leben","lebte","lebtest","lebte","lebten","lebtet","lebten","leben"
"to read","lesen","lese","liest","liest","lesen","lest","lesen","las","lasest","las","lasen","last","lasen","lesen"
"to make","machen","mache","machst","macht","machen","macht","machen","machte","machtest","machte","machten","machtet","machten","machen"
"to mean","meinen","meine","meinst","meint","meinen","meint","meinen","meinte","meintest","meinte","meinten","meintet","meinten","meinen"
"to like","mögen","mag","magst","mag","mögen","mögt","mögen","mochte","mochtest","mochte","mochten","mochtet","mochten","mögen"
"would like","möchten","NA","NA","NA","NA","NA","NA","möchte","möchtest","möchte","möchten","möchtet","möchten","NA"
"to praise","preisen","preise","preist","preist","preisen","preist","preisen","pries","priesest","pries","priesen","prieset","priesen","preisen"
"to rain","regnen","regnet","regnen","NA","NA","NA","NA","regnete","regneten","NA","NA","NA","NA","regnen"
"to say","sagen","sage","sagst","sagt","sagen","sagt","sagen","sagte","sagtest","sagte","sagten","sagtet","sagten","sagen"
"to divorce","scheiden","scheide","scheidest","scheidet","scheiden","scheidet","scheiden","schied","schiedst","schied","schieden","schiedet","schieden","scheiden"
"to snow","schneien","schneie","schneist","schneit","schneien","schneit","schneien","schneite","schneitest","schneite","schneiten","schneitet","schneiten","schneien"
"to swim","schwimmen","schwimme","schwimmst","schwimmt","schwimmen","schwimmt","schwimmen","schwamm","schwammst","schwamm","schwammen","schwammt","schwammen","schwimmen"
"to see","sehen","sehe","siehst","sieht","sehen","seht","sehen","sah","sahst","sah","sahen","saht","sahen","sehen"
"to be","sein","bin","bist","ist","sind","seid","sind","war","warst","war","waren","wart","waren","sein"
"to play","spielen","spiele","spielst","spielt","spielen","spielt","spielen","spielte","spieltest","spielte","spielten","spieltet","spielten","spielen"
"to speak","sprechen","spreche","sprichst","spricht","sprechen","sprecht","sprechen","sprach","sprachst","sprach","sprachen","spracht","sprachen","sprechen"
"to stand","stehen","stehe","stehst","steht","stehen","steht","stehen","stand","standst","stand","standen","standet","standen","stehen"
"to die","sterben","sterbe","stirbst","stirbt","sterben","sterbt","sterben","starb","starbst","starb","starben","starbt","starben","sterben"
"to agree","stimmen","stimme","stimmst","stimmt","stimmen","stimmt","stimmen","stimmte","stimmtest","stimmte","stimmten","stimmtet","stimmten","stimmen"
"to dance","tanzen","tanze","tanzt","tanzt","tanzen","tanzt","tanzen","tanzte","tanztest","tanzte","tanzten","tanztet","tanzten","tanzen"
"to share","teilen","teile","teilst","teilt","teilen","teilt","teilen","teilte","teiltest","teilte","teilten","teiltet","teilten","teilen"
"to meet","treffen","treffe","triffst","trifft","treffen","trefft","treffen","traf","trafst","traf","trafen","traft","trafen","treffen"
"to sell","verkaufen","verkaufe","verkaufst","verkauft","verkaufen","verkauft","verkaufen","verkaufte","verkauftest","verkaufte","verkauften","verkauftet","verkauften","verkaufen"
"to get married","verheiraten","verheirate","verheiratest","verheiratet","verheiraten","verheiratet","verheiraten","verheiratete","verheiratetest","verheiratete","verheirateten","verheiratetet","verheirateten","verheiraten"
"to wait","warten","warte","wartest","wartet","warten","wartet","warten","wartete","wartetest","wartete","warteten","wartetet","warteten","warten"
"be/will","werden","werde","wirst","wird","werden","werdet","werden","wurde","wurdest","wurde","wurden","wurdet","wurden","werden"
"to live in","wohnen","wohne","wohnst","wohnt","wohnen","wohnt","wohnen","wohnte","wohntest","wohnte","wohnten","wohntet","wohnten","wohnen"
"may; allow","dürfen","darf","darfst","darf","dürfen","dürft","dürfen","durfte","durftest","durfte","durften","durftet","durften","dürfen"
"can","können","kann","kannst","kann","können","könnt","können","konnte","konntest","konnte","konnten","konntet","konnten","können"
"must","müssen","muss","musst","muss","müssen","müsst","müssen","musste","musstest","musste","mussten","musstet","mussten","müssen"
"should","sollen","soll","sollst","soll","sollen","sollt","sollen","sollte","solltest","sollte","sollten","solltet","sollten","sollen"
"want","wollen","will","willst","will","wollen","wollt","wollen","wollte","wolltest","wollte","wollten","wolltet","wollten","wollen"
